premierelocatie_id,relatie,value
131315,adres,Oudergemselaan 90
131315,stad,Etterbeek
131315,postcode,1040
131315,land,België
135165,naam,Rivierenhof - Deurne
135165,adres,None
135165,stad,Deurne
135165,postcode,None
135165,land,België
137059,naam,CC Knokke-Heist
137059,adres,None
137059,stad,Knokke-Heist
137059,postcode,None
137059,land,België
139848,naam,Spiegeltent
139848,adres,
139848,stad,Groningen
139848,postcode,None
139848,land,Nederland
132628,naam,Grand Théâtre Luxembourg
132628,adres,"1, Rond-Point Robert Schuman"
132628,stad,Luxembourg
132628,postcode,2525
132628,land,Luxemburg 
137596,naam,WZC De Vijvers
137596,adres,Walstraat 1
137596,stad,Ledeberg
137596,postcode,9050
137596,land,België
137938,naam,Festival Bo:m
137938,adres,
137938,stad,Seoul
137938,postcode,None
137938,land,Republiek Korea
139706,naam,Sint-Janshuis
139706,adres,
139706,stad,Kortrijk
139706,postcode,None
139706,land,België
133613,naam,Lucent Danstheater
133613,adres,Spuiplein 152
133613,stad,Den Haag
133613,postcode,2511 DG
133613,land,Nederland
133766,naam,Toneelschuur
133766,adres,Lange Begijnestraat 9
133766,stad,Haarlem
133766,postcode,2011 HH
133766,land,Nederland
138151,naam,Exerzierhalle
138151,adres,
138151,stad,Oldenburg
138151,postcode,None
138151,land,Duitsland
131860,naam,Theater Bis
131860,adres,Triniteitstraat 19
131860,stad,Den Bosch
131860,postcode,5211KW
131860,land,Nederland
136767,naam,Schouwburg Casino
136767,adres,Sint-Truidersteenweg 3
136767,stad,Tongeren
136767,postcode,3700
136767,land,België
138550,naam,Teatro Sor Juana Inés de la Cruz
138550,adres,
138550,stad,Mexico
138550,postcode,None
138410,naam,Platform Theatre
138410,adres,1 Granary Square
138410,stad,London
138410,postcode,N1C 4AA﻿﻿
138410,land,Groot-Brittannië
134278,naam,Spiegeltent plein voor de post Mechelen
134278,adres,None
134278,stad,Mechelen
134278,postcode,2800
134278,land,België
139450,naam,Neerhoevelaan
139450,adres,
139450,stad,Mortsel
139450,postcode,None
139450,land,België
140364,naam,Spaanskasteelplein
140364,adres,
140364,stad,Gent
140364,postcode,None
140364,land,België
139451,naam,Croation National Theatre Zagreb
139451,adres,
139451,stad,Zagreb
139451,postcode,None
139451,land,Kroatië
140341,naam,Varna Opera Theater
140341,adres,
140341,stad,Varna
140341,postcode,None
140341,land,Bulgarije
134155,naam,CC De Wildeman
134155,adres,Schoolstraat 15
134155,stad,Herent
134155,postcode,3020
134155,land,België
139294,naam,Uniek Loket Haven
139294,adres,Kaai 102 - Loodglansstraat 5
139294,stad,Antwerpen
139294,postcode,None
139294,land,België
137663,naam,Garajistanbul
137663,adres,None
137663,stad,Istanbul
137663,postcode,None
137663,land,Turkije
136682,naam,NTGent: Arca
136682,adres,Sint-Widostraat 4
136682,stad,Gent
136682,postcode,9000
136682,land,België
133699,naam,Theater Cosmic
133699,adres,Nes 75-87
133699,stad,Amsterdam
133699,postcode,1012KD
133699,land,Nederland
136294,naam,Dampfzentrale
136294,adres,None
136294,stad,Bern
136294,postcode,None
136294,land,Zwitserland
139009,naam,EVA Centrum
139009,adres,kattenberg 54
139009,stad,Ekeren
139009,postcode,2180
139009,land,België
133667,naam,Mechels Miniatuur Teater - Kelder
133667,adres,Hanswijkstraat 63
