subsidie_id,relatie,value
14524,eindjaar,2006
14524,subsidietype,projectbeurs_4
14524,subsidiecomite,theater_10
14524,subsidiërende instantie,Kunstendecreet_1
14525,subsidiesysteem,Projecten theater_607
14525,organisatie,Kolka Kollektief_371316
14525,beginjaar,2006
14525,eindjaar,2006
14525,subsidietype,projectbeurs_4
14525,subsidiecomite,theater_10
14525,subsidiërende instantie,Kunstendecreet_1
14526,subsidiesysteem,Projecten theater_607
14526,organisatie,Barre Weldaad_363145
14526,beginjaar,2006
14526,eindjaar,2006
14526,subsidietype,projectbeurs_4
14526,subsidiecomite,theater_10
14526,subsidiërende instantie,Kunstendecreet_1
14527,subsidiesysteem,Projecten theater_607
14527,organisatie,Stilllab_371005
14527,beginjaar,2006
14527,eindjaar,2006
14527,subsidietype,projectbeurs_4
14527,subsidiecomite,theater_10
14527,subsidiërende instantie,Kunstendecreet_1
14528,subsidiesysteem,Projecten theater_607
14528,organisatie,Chett_371337
14528,beginjaar,2006
14528,eindjaar,2006
14528,subsidietype,projectbeurs_4
14528,subsidiecomite,theater_10
14528,subsidiërende instantie,Kunstendecreet_1
14529,subsidiesysteem,Projecten theater_607
14529,organisatie,Berlin_370996
14529,beginjaar,2006
14529,eindjaar,2006
14529,subsidietype,projectbeurs_4
14529,subsidiecomite,theater_10
14529,subsidiërende instantie,Kunstendecreet_1
14530,subsidiesysteem,Projecten theater_607
14530,organisatie,Tg Schemering_371312
14530,beginjaar,2006
14530,eindjaar,2006
14530,subsidietype,projectbeurs_4
14530,subsidiecomite,theater_10
14530,subsidiërende instantie,Kunstendecreet_1
14532,subsidiesysteem,Projecten theater_607
14532,organisatie,Filter_371304
14532,beginjaar,2006
14532,eindjaar,2006
14532,subsidietype,projectbeurs_4
14532,subsidiecomite,theater_10
14532,subsidiërende instantie,Kunstendecreet_1
14533,subsidiesysteem,Projecten theater_607
14533,organisatie,Devriendt vzw_371275
14533,beginjaar,2006
14533,eindjaar,2006
14533,subsidietype,projectbeurs_4
14533,subsidiecomite,theater_10
14533,subsidiërende instantie,Kunstendecreet_1
14534,subsidiesysteem,Projecten theater_607
14534,organisatie,Theatercollectief Zeus_371308
14534,beginjaar,2006
14534,eindjaar,2006
14534,subsidietype,projectbeurs_4
14534,subsidiecomite,theater_10
14534,subsidiërende instantie,Kunstendecreet_1
14536,subsidiesysteem,Projecten theater_607
14536,beginjaar,2006
14536,eindjaar,2006
14536,subsidietype,projectbeurs_4
14536,subsidiecomite,theater_10
14536,subsidiërende instantie,Kunstendecreet_1
14537,subsidiesysteem,Projecten theater_607
14537,organisatie,productiehuis padarijs_371286
14537,beginjaar,2006
14537,eindjaar,2006
14537,subsidietype,projectbeurs_4
14537,subsidiecomite,theater_10
14537,subsidiërende instantie,Kunstendecreet_1
16069,subsidiesysteem,Ontwikkelingsgerichte beurs multi_642
16069,persoon,Niko Hafkenscheid_1922674
16069,beginjaar,2011
16069,eindjaar,2011
16069,subsidietype,ontwikkelingsbeurs_7
16069,subsidiecomite,multidisciplinair_8
16069,subsidiërende instantie,Kunstendecreet_1
14509,subsidiesysteem,Projecten theater_607
14509,organisatie,Palindroom_371313
14509,beginjaar,2006
14509,eindjaar,2006
14509,subsidietype,projectbeurs_4
14509,subsidiecomite,theater_10
14509,subsidiërende instantie,Kunstendecreet_1
14515,subsidiesysteem,Projecten theater_607
14515,organisatie,LAZARUS_371092
14515,beginjaar,2006
14515,eindjaar,2006
14515,subsidietype,projectbeurs_4
14515,subsidiecomite,theater_10
14515,subsidiërende instantie,Kunstendecreet_1
14516,subsidiesysteem,Projecten theater_607
14516,organisatie,Kopspel_371315
14516,beginjaar,2006
14516,eindjaar,2006
14516,subsidietype,projectbeurs_4
14516,subsidiecomite,theater_10
14516,subsidiërende instantie,Kunstendecreet_1
14517,subsidiesysteem,Projecten theater_607
14517,organisatie,Maan en Zand_371314
14517,beginjaar,2006
14517,eindjaar,2006
14517,subsidietype,projectbeurs_4
14517,subsidiecomite,theater_10
14517,subsidiërende instantie,Kunstendecreet_1
14538,subsidiesysteem,Projecten theater_607
14538,organisatie,Kunstencentrum Tor_369303
14538,beginjaar,2006
14538,eindjaar,2006
14538,subsidietype,projectbeurs_4
14538,subsidiecomite,theater_10
14538,subsidiërende instantie,Kunstendecreet_1
14539,subsidiesysteem,Projecten theater_607
14539,organisatie,de Claes fabriek_371339
14539,beginjaar,2006
14539,eindjaar,2006
14539,subsidietype,projectbeurs_4
14539,subsidiecomite,theater_10
14539,subsidiërende instantie,Kunstendecreet_1
14541,subsidiesysteem,Projecten theater_607
14541,organisatie,Fiëbre_371318
14541,beginjaar,2006
14541,eindjaar,2006
14541,subsidietype,projectbeurs_4
14541,subsidiecomite,theater_10
14541,subsidiërende instantie,Kunstendecreet_1
14542,subsidiesysteem,Projecten theater_607
14542,organisatie,Exiles_371341
14542,beginjaar,2006
14542,eindjaar,2006
14542,subsidietype,projectbeurs_4
14542,subsidiecomite,theater_10
14542,subsidiërende instantie,Kunstendecreet_1
14543,subsidiesysteem,Projecten theater_607
14543,organisatie,Duizendeneen_371340
14543,beginjaar,2006
14543,eindjaar,2006
14543,subsidietype,projectbeurs_4
14543,subsidiecomite,theater_10
14543,subsidiërende instantie,Kunstendecreet_1
14544,subsidiesysteem,Projecten theater_607
14544,organisatie,Casa Blanca_371336
14544,beginjaar,2006
14544,eindjaar,2006
14544,subsidietype,projectbeurs_4
14544,subsidiecomite,theater_10
14544,subsidiërende instantie,Kunstendecreet_1
14545,subsidiesysteem,Projecten theater_607
14545,organisatie,Het Betoog_371317
14545,beginjaar,2006
14545,eindjaar,2006
14545,subsidietype,projectbeurs_4
14545,subsidiecomite,theater_10
14545,subsidiërende instantie,Kunstendecreet_1
14548,subsidiesysteem,Organisaties meerjarig voor theater_606
14548,organisatie,Theater Froe Froe_360654
14548,beginjaar,2006
14548,eindjaar,2009
14548,subsidietype,structureel diverse duur_14
14548,subsidiecomite,theater_10
14548,subsidiërende instantie,Kunstendecreet_1
14550,subsidiesysteem,Organisaties meerjarig voor theater_606
14550,organisatie,De Parade_361110
14550,beginjaar,2006
14550,eindjaar,2009
14550,subsidietype,structureel diverse duur_14
14550,subsidiecomite,theater_10
14550,subsidiërende instantie,Kunstendecreet_1
14552,subsidiesysteem,Organisaties meerjarig voor theater_606
14552,organisatie,'t Arsenaal_370021
14552,beginjaar,2006
14552,eindjaar,2009
14552,subsidietype,structureel diverse duur_14
14552,subsidiecomite,theater_10
14552,subsidiërende instantie,Kunstendecreet_1
14558,subsidiesysteem,Organisaties meerjarig voor theater_606
14558,organisatie,de Roovers_363004
14558,beginjaar,2006
14558,eindjaar,2009
14558,subsidietype,structureel diverse duur_14
14558,subsidiecomite,theater_10
14558,subsidiërende instantie,Kunstendecreet_1
14559,subsidiesysteem,Organisaties meerjarig voor theater_606
14559,organisatie,Theater Antigone_360582
14559,beginjaar,2006
14559,eindjaar,2009
