,Lijst van organisaties,Count van producties
336,Utopia II,1
337,Aksident,6
338,Ell Circo d'ell Feugo,1
339,Darm vzw,3
340,Studio Orka,45
341,Toneel Dora van der Groen,23
342,Théâtre Praxis,1
343,Novgorod vzw,1
344,Teerling - Julien Schoenaerts,3
345,Victoria Deluxe,29
346,Mechels Stadspoppentheater,39
347,Culturele interventies Antwerpen,1
348,Compagnie Barbarie,14
349,Compagnie Frieda,20
350,das marionette,2
351,Kailash,1
352,Théâtre de Poche,2
353,Brugge Plus,3
354,Rooftoptiger,3
355,Cie Artara,8
356,Trudie en August,1
357,Circus Ronaldo,35
358,Tine Ruysschaert,21
359,Theater Taptoe,96
360,GC De Markten,1
361,MillenniumProof,2
362,Garifuna,1
363,Agency,2
364,STORMOPKOMST,3
365,Curtain Call Productions,11
366,Joji Inc,29
367,Pantalone,52
368,Backstage,7
369,CC De Werf,2
370,PONI,9
371,Het Sienjaal,2
372,Teater 42,29
373,Jeugdtheater Het Appeltje,5
374,I Solisti del Vento,7
375,The Nursery,1
376,productiehuis padarijs,8
377,Tinnenpot,1
378,Bent Object,4
379,Collectif du Lion,2
380,Théâtre de Namur,3
381,Ictus Ensemble vzw,6
382,Klein verzet vzw,15
383,Art'oh!,2
384,Het Zesde Bedrijf,25
385,HIROS,40
386,Het Affront / Amana Dance Theatre,16
387,Next / Herwig De Weerdt,10
388,Theatermakershuis de Queeste,38
389,Avec Jan Jib Co,2
390,Theater Vonk,1
391,De Figuranten (Stimulans JIAC),16
392,Muziektheater Transparant,231
393,Dwama,8
394,zie!duif,3
395,Hun-Tun vzw,4
396,SKaGeN,48
397,Laika,143
398,LUCA Drama,1
399,Kinder- en Poppentheater Propop,103
400,alexander vzw,2
401,Nico Sturm en Karolien De Beck,1
402,De Stokerij,1
403,School of Arts,1
404,Orfeo vzw,2
405,Bl!ndman,8
406,Compagnie Pierre Droulers,4
407,Le Mal du Siecle,20
408,Kopseer,1
409,De eibakkerij,1
410,Tinistri vzw,3
411,Koninklijk Conservatorium Antwerpen,2
412,Festival de Liège,6
413,Theater Saignant,3
414,Centre des Ecritures Contemporaines et Numériques 2 - CECN2,2
415,C-mine cultuurcentrum Genk,15
416,klein & Wagner,5
417,De Krijtkring,2
418,Nadar ensemble,1
419,CC Berchem,6
420,Tg Dwaalzin,1
421,Fortinbras,2
422,Koninklijk Muziekconservatorium Brussel,2
423,Margarita Production,81
424,Compagnie de Koe,120
425,De Tijd,123
426,Red Orange Productions,2
427,Transquinquennal,34
428,Muzi a Zeny,2
429,Tableau nr.1,5
430,Mathilde Speelt,2
431,Anno'02,3
432,Vanity vzw,9
433,De Munt/La Monnaie,361
434,SPECTRA ensemble,4
435,Playerwater,2
436,Theater Tenslotte,1
437,Plinn vzw,1
438,Îles Flottantes vzw,1
439,Cie M.E.S.S.,2
440,Teater Exces vzw,14
441,Platform 0090,17
442,de LaLa's,1
443,Larf!,49
444,CC De Ster,2
445,Poppentheater PICO,1
446,Kamp Kalf,1
447,Teater Zonder Toegevoegd Zout,3
448,BAM - Eugène Bervoets,1
449,Publiekstoneel,1
450,Music Hall Group,5
451,ENSEMBLE SUIKERIJ/TEATERBARRIKADE,1
452,Tout Petit,5
453,IOA - International Opera Academy,2
454,Glüg,1
455,Theater Scorpio,16
456,Tg Cactusbloem,3
457,Tg Marcus,1
458,Damaged Goods,130
459,Palmers & Pierlet vzw,2
460,Théâtre National de la Communauté française,20
461,Arbeit.oderentweder,2
462,Cie Todavia,1
463,MiramirO - Internationaal Straattheaterfestival Gent,2
464,Blueback asbl,1
465,Krokusfestival,13
466,Spelersgroep Ernst/Serieus,3
467,Catalpa vzw,4
468,vzw Sontag,4
469,Theater De Schaduw,16
470,Bende Ongeregeld vzw,2
471,Antwerpen Boekenstad,1
472,De Zeepcompagnie,16
473,TREVOR vzw,2
474,Mireille en Mathieu,19
475,Luk Wyns,2
476,Caravan Production,104
477,aredlineproject,1
478,Raamtheater,44
479,Galothar,7
480,De Nwe Tijd,4
481,Nora Tilley,2
482,TIE 3,1
483,Twee vzw,3
484,Circus Bulderdrang,1
485,Fyke,17
486,Duchamps,28
487,Foton,3
488,Filter,17
489,Tweelicht & Zoon,7
490,Merlino vzw,2
491,kc nOna,17
492,De Kopergietery,1
493,Vooruit,30
494,IKOB - Museum für Zeitgenössische Kuns,1
495,vzw Sopha,2
496,Het Net,33
497,Bad van Marie,39
498,Salva Sanchis,11
499,New Boys In Town vzw,5
500,Ratlas Company,1
501,Mechelse Mimestudio,1
502,Vlinders & C°,39
503,BILT,1
504,Drift vzw,2
505,Hogeschool Gent - Departement Dramatische Kunst - Opleiding drama-woord,64
506,Het Grote Gelijk,4
507,Art Buro Limburg,4
508,Bon Avontura,1
509,Volksroom,8
510,De Bovenkamer,1
511,THEATER DE POESJE,1
512,Johny Voners & Janine Bischops,1
513,Theater Ik & Ik,1
514,Maten,13
515,1x2x3 ASBL,1
516,THEATER BESTEK,1
517,La petite fabrique,1
518,Sprookjesweverij,2
519,L'Hommmm,5
520,Stromend Water vzw,1
521,V.E.L.D.,3
522,Archives et Musée de la Littérature,1
523,Annabel Schellekens & Thomas Devens,1
524,Tandem asbl,3
525,Iota Theaterwerkgroep,25
526,Tovomol,4
527,Julia Sugranyes,1
528,De Factorie,6
529,Maelstrom,2
530,Rataplan vzw,34
531,Hush Hush Hush,18
532,Struiken vzw,3
533,Kaaitheater,82
534,Frank Degruyter,19
535,Theater Houtekop,14
536,Marc Vanrunxt / Hyena,24
537,Chiel Van Berkel,1
538,Theater O!,1
539,kristal & vanplastiek,5
540,Blitz,1
541,Tg. NUN,1
542,Theater 3/3,1
543,Toneelgroep Ceremonia,77
544,Cie MoSTeRD MeT ZaaD,1
545,Happy New Ears,4
546,Palindroom,7
547,Theater Ivonne Lex,23
548,Galacticamendum,2
549,De Ontmoeting vzw,1
550,Land in zicht vzw,1
551,Flat Earth Society,2
552,WALTER JORIS,1
553,Theater Tieret,47
554,Poppentejater Jejem Piron,17
555,Artefact - festival voor mediakunst,1
556,Krakatau,3
557,Sax-Appeal,2
558,vzw Mechelen - Karel V,1
559,Sharon Zuckerman & Arco Renz,3
560,De Eilandverkaveling,7
561,CC Ekeren,1
562,DE MAAN,45
563,PANGEA,1
564,Het Muziek LOD,76
565,Bains::Connective,18
566,Salibonani,7
567,keski.e.space,16
568,La résistance ridicule,3
569,Kip met kop,9
570,Ecstasy vzw,2
571,Bonbon,1
572,Cie Ea Eo,10
573,De nieuwe opdrachtgevers,1
574,LRV-PRODUCTIES,11
575,Etablissement d'en Face,1
576,ampersand,2
577,Kunstzaken bvba,1
578,De Verrukking,9
579,Feniks festival,1
580,"Riche, Riche & Riche",1
581,Compagnie DeSnor,6
582,Cie Karin Vyncke / Aquilon vzw,27
583,Cultuurcentrum Merksem,1
584,Circuscentrum - Vlaams Centrum voor Circuskunsten,1
585,AndWhatBesidesDeath,5
586,Leefgroep de Panda,3
587,Het Entrepot,2
588,Jan Decorte & Cie,3
589,La Barca Ensemble,3
590,Lemmensinstituut - Hogeschool voor Wetenschap en Kunst,16
591,Seventyseven,13
592,Alden Biesen Zomeropera vzw,14
593,ID theater,2
594,Cultuurmarkt van Vlaanderen,1
595,TAKT/Dommelhof,1
596,FRANK NUYTS & JACQUES SERVAES,1
597,DE KOLONIE MT,26
598,Open Circuit,9
599,Zwarte Meeuw,5
600,Mr. & Mrs. Fox,3
601,Robbert&Frank/Frank&Robbert,5
602,BRUT,4
603,GC 't Groenendal,2
604,Theaterprojecten De goesting,1
605,De Beweeging,33
606,de Roovers,89
607,Theater Onderhetvel,11
608,Koninklijk Jeugdtheater,56
609,Koninklijk Conservatorium - afd. Drama,1
610,Tg Elektra,3
611,Defdef TheatreCompany,5
612,Wit.h,3
613,Compagnie Hatsjie,5
614,Bozar,5
615,Duizendeneen,6
616,STUK Kunstencentrum vzw,41
617,Lapzus,1
618,SEEFTHEATER,1
619,Europalia International,1
620,Cava,5
621,La Comedie Crapule,4
622,Pianofabriek,20
623,Samenleven Runkst,1
624,Gallerie Nadja Vilenne,1
625,Uitgezonderd. Theater!,1
626,Matrix Art Project,1
627,de Bühnehasen,1
628,Europees Festival,15
629,Florence Augendre,5
630,Groupov,4
631,Theater Teater / Het 3° bedrijf,9
632,Les dames blanches,1
