,Lijst van organisaties,Stad,Land,Postcode,Count van producties
748,Lemm&Barkey,Brussel,België,,5
749,La Comedie Crapule,Sint-Joost-ten-Node,België,,4
750,Mons 2015 Capitale européenne de la Culture,Mons,België,,3
751,C-mine cultuurcentrum Genk,Genk,België,,16
752,Poppentheater PICO,Rumst,België,,1
753,Toneelhuis,Antwerpen,België,,183
754,Les Brigittines,Bruxelles,België,,1
755,Theater Teater / Het 3° bedrijf,Mechelen,België,,9
756,ID theater,Brussel,België,,2
757,Boris vzw,Brussel,België,,5
758,Nabla vzw,,België,,1
759,Kurt Defrancq,Hove,België,,2
760,Paco-Producties,Aalst,België,,2
761,Studio KoS,Oetingen,België,,2
762,Lucinda Ra,Gent,België,,5
763,Thakafa 11,Borgerhout (Antwerpen),België,,2
764,D°eFFeKt,Brussel,België,,4
765,Veva De Blauwe & Sara Vertongen,Antwerpen,België,,5
766,Un Oeuf Is Un Oeuf,Brussel,België,,5
767,Teater 42,Turnhout,België,,29
768,WIThWIT,,België,,2
769,Seventyseven,Brussel,België,,15
770,Backstage,Gent,België,,7
771,Latent Fuss,Brussel,België,,1
772,theaterMalpertuis,Tielt,België,,147
773,Zeven vzw,Brussel,België,,14
774,Arthur,Antwerpen,België,,1
775,Random Scream,Brussel,België,,19
776,de Bloedgroep,Gentbrugge,België,,4
777,Compagnie Nadine Ganase,Bruxelles,België,,1
778,de Claes fabriek,Antwerpen,België,,2
779,De Bijloke Muziekcentrum,Gent,België,,6
780,Voetvolk,Antwerpen,België,,24
781,AndWhatBesidesDeath,Antwerpen,België,,5
782,Petaar vzw,Sint-Jans-Molenbeek,België,,2
783,Theater Stap,Turnhout,België,,73
784,Krikri,Gent,België,,2
785,Anima Vinctum/Muziekkunst voor Dans & Theater,Antwerpen,België,,2
786,Music Hall Group,Antwerpen,België,,5
787,Jean Luc Ducourt,Schaarbeek,België,,9
788,Het Affront / Amana Dance Theatre,Deurne,België,,16
789,Madam Fortuna,Antwerpen (Borgerhout),België,,6
790,Le manège.mons,Mons,België,,4
791,Prefab,Leuven,België,,1
792,Brugge 2002,Brugge,België,,4
793,Collectief gestrand,,België,,1
794,Rooftoptiger,Antwerpen,België,,3
795,SPECTRA ensemble,Ledeberg,België,,4
796,Ensemble Leporello,Sint-Jans-Molenbeek,België,,188
797,De Onderneming,Hoboken (Antwerpen),België,,66
798,Circus Ronaldo,Muizen - Mechelen,België,,35
799,Sax-Appeal,Haacht,België,,2
800,Caravan Production,Brussel,België,,106
801,Theaterwerkgroep Kopspel,Berchem,België,,1
802,Samenleven Runkst,Hasselt,België,,1
803,Tout Petit,Zonhoven,België,,5
804,Raamtheater,Antwerpen,België,,44
805,Nederlands Toneel Gent,Gent,België,,79
806,Teater Leen Persijn,Oosterzele,België,,20
807,Theater Herman Verbeeck,Borgerhout (Antwerpen),België,,7
808,Europalia International,Brussel,België,,1
809,Unie Der Zorgelozen,Kortrijk,België,,32
810,Manyone,Brussel,België,,7
811,UA (Universiteit Antwerpen),Wilrijk (Antwerpen),België,,1
812,Festival de Liège,Liège,België,,6
813,Theater Tieret,Sint-Niklaas,België,,49
814,Klapstukfestival,Leuven,België,,28
815,de LaLa's,,België,,1
816,de Bühnehasen,Antwerpen,België,,1
817,Tutti Fratelli,Borgerhout,België,,17
818,les yeux bleus,Brussel,België,,1
819,Teater Exces vzw,Gent,België,,14
820,Theater Speelman,Borgerhout,België,,6
821,Mulder & De Roeck,Hove,België,,1
822,Compagnie Thor,Brussel,België,,14
823,La Cité Moderne,,België,,1
824,Platform 0090,Berchem,België,,18
825,Stray Light vzw,Anderlecht,België,,2
826,Theater O!,Hove,België,,1
827,Larf!,Gent,België,,49
828,Air de C,Borgerhout (Antwerpen),België,,3
829,De Furie,Antwerpen,België,,4
830,Bozar,Brussel,België,,5
831,Kunstzaken bvba,Gent,België,,1
832,Hécate,Tienen,België,,2
833,Nieuwpoorttheater,Gent,België,,36
834,Theaterprojecten De goesting,Kessel-Lo,België,,1
835,TIE 3,Antwerpen,België,,1
836,Europees Festival,Antwerpen,België,,15
837,Theater De Schaduw,Ardooie,België,,16
838,Tank!,,België,,7
839,Mokum vzw,Brussel,België,,39
840,Théâtre Praxis,Brussel,België,,1
841,Le Mal du Siecle,Aalter,België,,20
842,Joe Baele,Deurle,België,,1
843,De Verwondering,Mariakerke (Gent),België,,3
844,Theaterwetenschappen Leuven,Leuven,België,,1
845,Leen Roels,Appels,België,,2
846,Kuiperskaai,Gent,België,,6
847,Eve vzw/asbl,,België,,4
848,Happy New Ears,Kortrijk,België,,4
849,Schouwburg Kortrijk,Kortrijk,België,,1
850,Free Art Dance Co,Bornem,België,,1
851,Theater Mutant,Borgerhout,België,,2
852,New Boys In Town vzw,Schoten,België,,5
853,Theater aan Zee (TarTarT),Oostende,België,,11
854,Inti vzw,Leefdaal,België,,16
855,Sprookjes enzo vzw,Antwerpen,België,,23
856,BAFF,Antwerpen,België,,15
857,De Muziekfactorij,Kasterlee,België,,1
858,House Crying Yellow Tears,Brussel,België,,3
859,Bob vzw,,België,,1
860,Nadine,Elsene,België,,30
861,Ibycus,Deurne (Antwerpen),België,,4
862,De Rivieren vzw,Antwerpen,België,,1
863,Utopia II,Brussel,België,,1
864,Ballet Vlaanderen,Antwerpen,België,,14
865,Theater op de Markt,Hasselt,België,,1
866,"Wo Bist, Ist",Heverlee,België,,1
867,Don Bosco Instituut,Haacht,België,,1
868,Circus Bulderdrang,Antwerpen,België,,1
869,Circuscentrum - Vlaams Centrum voor Circuskunsten,Gent,België,,1
870,MillenniumProof,Antwerpen,België,,2
871,timecircus vzw,Antwerpen (Linkeroever),België,,1
872,Théâtre des 4 mains,Beauvechain,België,,4
873,Aifoon vzw,Gent,België,,3
874,Mechels Jeugdtheater,Mechelen,België,,6
875,De Verenigde Cultuurfabrieken vzw,Gent,België,,1
876,Goedertier,Brussel,België,,5
877,Plinn vzw,Hansbeke,België,,1
878,'t ANtWOORD,Turnhout,België,,2
879,Lujd,Brussel,België,,2
880,WALPURGIS,Mortsel,België,,94
881,Marie Slik,Turnhout,België,,1
882,Studio Tokio,Antwerpen,België,,1
883,Nieuw Ensemble RaamTeater,Antwerpen,België,,71
884,Artesis - Koninklijk Conservatorium Campus Lier,Lier,België,,2
885,Jeugdtheater Het Appeltje,Antwerpen,België,,5
886,Rosas,Vorst,België,,221
887,I Solisti del Vento,Antwerpen,België,,7
888,Yawar,Genk,België,,5
889,Blueback asbl,Brussel,België,,1
890,NouS,Antwerpen,België,,1
891,CC Antoon Spinoy,Mechelen,België,,1
892,Tibaldus en andere hoeren,Gent,België,,18
893,Nieuwe Realisaties,Antwerpen,België,,4
894,Tristero,Brussel,België,,88
895,Teater Pepijn,Bornem,België,,20
896,The Primitives,Wezembeek-Oppem,België,,13
897,ENSEMBLE SUIKERIJ/TEATERBARRIKADE,Gent,België,,1
898,Theater aan de Stroom,Antwerpen,België,,39
899,cirQ,Gent,België,,1
900,IOA - International Opera Academy,Gent,België,,2
901,Kamp Kalf,,België,,1
902,Zoe,Brussel,België,,4
903,Festival van Vlaanderen,Mechelen,België,,4
904,Dust Timing vzw,Gentbrugge,België,,1
905,Jan Fabre - Troubleyn,Antwerpen,België,,160
906,Theater Saignant,Hove,België,,3
907,Dastheater,Gent,België,,29
908,Poppentejater Jejem Piron,Mortsel,België,,17
909,Filter,Antwerpen,België,,17
910,De generaal in zijn tuin,Turnhout,België,,1
911,de Roovers,Antwerpen,België,,89
912,Teater Prometheus,Gent,België,,1
913,De Beweeging,Antwerpen,België,,33
914,Artefact - festival voor mediakunst,Leuven,België,,1
915,'t Arsenaal,Mechelen,België,,97
916,Danscompagnie Francine De Veylder,Moorsel,België,,1
917,kwaad bloed,Brussel,België,,46
918,LaDea,Brussel,België,,11
919,Publiekstheater,Gent,België,,60
920,Theater Scorpio,Turnhout,België,,16
921,CC Gildhof,Tielt,België,,1
922,FC Bergman,Antwerpen,België,,26
923,PONI,Brussel,België,,9
924,Festival van Vlaanderen Gent,Gent,België,,3
925,Compagnie Hopla,Kortrijk,België,,3
926,fABULEUS,Leuven,België,,159
927,Laagland,Bierbeek,België,,8
928,Commission art numérique,Brussel,België,,1
929,Nunc et / est nunc,,België,,1
930,Theater Teater,Mechelen,België,,12
931,vzw Punt_O,Gent,België,,1
932,Pantalone,Brussel,België,,52
933,Foton,Brussel,België,,3
934,De Machienerie vzw,Antwerpen,België,,1
935,Le Groupe Sanguin,Brussel,België,,1
936,CC De Grote Post,Oostende,België,,3
937,Rubus Productions,Gent,België,,2
938,DE DAGEN,Antwerpen,België,,3
939,het GEIT,Gent,België,,5
940,De Bromvlieg,Antwerpen,België,,2
941,Cie Isabella Soupart,Bruxelles,België,,5
942,Ballet Najade vzw,Kuringen,België,,2
943,Vlaams-Nederlands huis deBuren,Brussel,België,,3
944,Eisbär,Antwerpen,België,,8
945,Uitgezonderd. Theater!,Lokeren,België,,1
946,Louise Vanneste/Rising Horses,Brussel,België,,9
947,Nadar ensemble,Sint-Niklaas,België,,1
948,Bloedgroep K,,België,,3
949,Ell Circo d'ell Feugo,Antwerpen,België,,1
950,Alden Biesen Zomeropera vzw,Rijkhoven,België,,14
951,m² (De Tijd),Antwerpen,België,,7
952,C&H,Brussel,België,,6
953,Twee vzw,Schaarbeek,België,,3
954,het KIP,Gent,België,,56
955,PRiSMA,Antwerpen,België,,3
956,Pianofabriek,Sint-Gillis,België,,24
957,Krokusfestival,Hasselt,België,,13
958,John Torso Swim Cie,Antwerpen,België,,6
959,'t Gebroed,Borgerhout,België,,5
960,Agency,Brussel,België,,2
961,Duchamps,Brussel,België,,29
