,Lijst van personen,Gender,Stad,Land,Postcode,Count van producties
2548,Ann De Mey,109.0,Anderlecht,België,,3
2549,Giacomo Strada,109.0,,Italië,,2
2550,Luc Meirte,110.0,Hingene,België,,40
2551,Ronny Smet,110.0,,België,,3
2552,Kiki Vervloessem,109.0,Bonheiden,België,,14
2553,Enrico Bagnoli,110.0,Sint-Jans-Molenbeek,België,,111
2554,Pol Dehert,110.0,Brussel,België,,73
2555,Karel Vanhaesebrouck,110.0,Gent,België,,5
2556,Ives Thuwis,110.0,,België,,87
2557,Ludo Janssens,110.0,KESSEL-LO,België,,2
2558,Mark Verstraete,110.0,Kruishoutem,België,,109
2559,Bernard Breuse,110.0,,België,,52
2560,Jos Verbist,110.0,Gent,België,,184
2561,Marc De Bisschop,110.0,Antwerpen,België,,1
2562,Arnaud Jacobs,110.0,Schaarbeek,België,,26
2563,Céline Marié,109.0,Vorst,België,,2
2564,Oriza Hirata,110.0,,Japan,,1
2565,Nona Schaffers,109.0,,België,,1
2566,Vladimir Vysotsky,110.0,,Federatie van Rusland,,2
2567,Hilde Uitterlinden,109.0,Antwerpen,België,,149
2568,Ward Rooze,110.0,Mechelen,België,,42
2569,David Carney,110.0,,België,,23
2570,Tom Doof,110.0,Antwerpen,België,,3
2571,Elke Clompen,109.0,Sint-Amandsberg (Gent),België,,4
2572,Vera Knolle,109.0,,Duitsland,,3
2573,Annick Van Leeuwen,109.0,,België,,3
2574,Tracy Letts,110.0,,Verenigde Staten van Amerika,,2
2575,Christian Mattis,110.0,Zürich,Zwitserland,,1
2576,Hendrik Muylaert,110.0,,België,,1
2577,Nicole Van Palm,109.0,,België,,1
2578,Sofie Decleir,109.0,Antwerpen,België,,82
2579,Bram Van der Heijden,110.0,,België,,2
2580,JAN Goossens,110.0,,België,,13
2581,Leen Bogaerts,109.0,,België,,8
2582,Jean Schols,110.0,Brussel,België,,37
2583,Johan De Vos,110.0,Sint-Niklaas,België,,1
2584,Nina Van Herck,109.0,,België,,1
2585,jelle Vastershaeghe,110.0,,België,,5
2586,Peter Swinnen,110.0,,België,,6
2587,Sonja Kimpen,109.0,,België,,1
2588,Katrijn Vermeulen,109.0,,België,,1
2589,Emre Koyuncuoglu,109.0,,Turkije,,3
2590,Jessica Gazon,109.0,,België,,1
2591,Roel Ghesquière,110.0,,België,,9
2592,Stijn Demeulenaere,110.0,Brussel,België,,20
2593,Lisa Vandamme,109.0,,België,,1
2594,Johan De Schutter,110.0,Berchem,België,,3
2595,Lieven Debrauwer,110.0,Sint-Amandsberg,België,,5
2596,James Berlin,110.0,,België,,1
2597,Marleen Beck,109.0,Antwerpen,België,,3
2598,Eva De Mul,109.0,Deurne,België,,7
2599,Bram Weijters,110.0,,België,,1
2600,Karla Persyn,109.0,,België,,4
2601,Steven Massart,110.0,Tienen,België,,2
2602,Marika Ingels,109.0,Gent,België,,9
2603,Tine Priem,109.0,,België,,1
2604,Nele Vereecke,109.0,,België,,1
2605,Vincent Goedemé,110.0,Antwerpen,België,,37
2606,Joseph de Leener,110.0,,België,,1
2607,Lotte Goos,109.0,,België,,4
2608,Peter De Bie,110.0,Leefdaal,België,,122
2609,Filip Bilsen,110.0,,België,,35
2610,Pascal Dusapin,110.0,Paris,Frankrijk,,3
2611,jeroen theunissen,110.0,,België,,1
2612,Herman Balthazar,110.0,,België,,2
2613,Lynda Gaudreau,109.0,MONTREAL,Canada,,9
2614,Claude Blondeel,110.0,Brussel,België,,2
2615,Sidi Larbi Cherkaoui,110.0,Hoboken,België,,209
2616,Jef Van gestel,110.0,Antwerpen,België,,64
2617,Inge Goddijn,109.0,Aalter,België,,24
2618,Guy Coolen,110.0,Antwerpen,België,,17
2619,Kris Van Trier,110.0,Antwerpen,België,,204
2620,Karen Peeters,109.0,Langdorp,België,,6
2621,Machteld Van De Perre,109.0,Gent,België,,12
2622,Johan Van Lierde,110.0,RETIE,België,,63
2623,Luc Peumans,110.0,,België,,15
2624,Rosa Mei,109.0,,België,,1
2625,Filip Tielens,110.0,,België,,3
2626,Kathleen Harre,109.0,,België,,3
2627,Vicky Vermoezen,109.0,Brussel,België,,20
2628,Anke Helsen,109.0,Rumst,België,,54
2629,Tessy Moerenhout,109.0,Wilrijk,België,,73
2630,Dominique Pauwels,110.0,KLOOSTERZANDE,Nederland,,96
2631,Jan Van Outryve,110.0,,België,,101
2632,Bernard Verheyden,110.0,,België,,189
2633,Octavio Iturbe,110.0,Brussel,België,,31
2634,Lima Lalitha De Valck,109.0,SINT-AMANDSBERG,België,,17
2635,Hannah Van Wieringen,109.0,,Nederland,,1
2636,Peter Dewindt,110.0,Gent,België,,1
2637,R. Matuke,110.0,,Congo,,1
2638,Martine Decroos,109.0,,België,,96
2639,Jeroen Peeters,110.0,Brussel,België,,13
2640,Andreas Van de Maele,110.0,Berchem,België,,32
2641,Inge Giezek,109.0,Sint-Katherina-Lombeek,België,,1
2642,Geert Verbruggen,110.0,,België,,1
2643,Rudi Van Vlaenderen,110.0,Leefdaal,België,,57
2644,Ali Salmi,110.0,,België,,14
2645,Katrien Vandendries,109.0,Antwerpen,België,,21
2646,Renée Van Avermaet,109.0,,België,,1
2647,Wietse Beels,110.0,,België,,6
2648,Freek Pieters,110.0,,België,,5
2649,Philip Demeester,110.0,Antwerpen,België,,66
2650,Guido Schiffer,110.0,Gent,België,,74
2651,Patrick Bonté,110.0,Bruxelles,België,,10
2652,Karine Pauwels,109.0,Antwerpen,België,,16
2653,Benjamine Dupont,110.0,Antwerpen,België,,12
2654,Laura De Vries,109.0,,België,,12
2655,Nicky Spence,109.0,,Antigua en Barbuda,,1
2656,Laura Verlinden,109.0,Geel,België,,4
2657,Rudy Geldhof,110.0,-,België,,40
2658,Dimitri Duquennoy,110.0,,België,,47
2659,Brick De Bois,110.0,Antwerpen,België,,35
2660,David Van Reybrouck,110.0,Brussel,België,,22
2661,Pieter Smet,110.0,,België,,22
2662,Liliane Raeymaekers,109.0,Antwerpen,België,,197
2663,Ben Hemerijckx,110.0,Diepenbeek,België,,79
2664,Laure-Anne Iserief,109.0,,België,,1
2665,Didi De Paris,110.0,Kessel-Lo (Leuven),België,,2
2666,Leo Ferré,110.0,Monaco,Frankrijk,,6
2667,Sanne De Wilde,109.0,,België,,1
2668,Eva Hautekiet,109.0,,België,,2
2669,Mien Muys,109.0,,België,,10
2670,Sarah Bourgeois,109.0,Brussel,België,,6
2671,Stan Van Gheluwe,110.0,,België,,1
2672,Patrick Uytterhaeghen,110.0,,België,,1
2673,Inge Pieters,109.0,Brussel,België,,1
2674,Liesbet Swings,109.0,,België,,18
2675,Kristien Coenen,109.0,Herentals,België,,14
2676,Julien Bruneau,110.0,Brussel,België,,2
2677,Randy Warshaw,110.0,New York,Verenigde Staten van Amerika,,14
2678,Cathérine David,109.0,Paris,Frankrijk,,1
2679,Ingrid Van Den Bergh,109.0,,België,,3
2680,Maurice Sévenant,110.0,,België,,1
2681,Rhody Matthijs,110.0,,Nederland,,2
2682,Michelle Sheridan,109.0,,Ierland,,1
2683,Luc Vierendeels,110.0,TERNAT,België,,3
2684,Wim Timmermans,110.0,,België,,1
2685,Céline Vandendriessche,109.0,Vinderhoute,België,,1
2686,Léa Drouet,109.0,,Frankrijk,,2
2687,Dries Van Robaeys,110.0,,België,,2
2688,Ann De Block,109.0,Antwerpen,België,,1
2689,Lize Provoost,109.0,Kortrijk,België,,1
2690,Luc De Vreese,110.0,Zottegem,België,,18
2691,Ann Overath,109.0,Gent,België,,1
2692,Ann Pidcock,109.0,,Groot-Brittannië,,2
2693,Glenn Liebens,110.0,,België,,6
2694,Emke Heijtenis,109.0,,België,,1
2695,Kim Lien Desault,109.0,,België,,3
2696,Bart Luypaert,110.0,,België,,92
2697,Dirk van Bastelaere,110.0,Lokeren,België,,5
2698,Geert Kestens,110.0,Korbeek-Lo,België,,1
2699,Harrie Lemmens,110.0,,België,,1
2700,Kidist Goffeau,110.0,,België,,1
2701,Caroline Verbrugghe,109.0,,België,,2
2702,Pieter Bogaert,110.0,Asse,België,,11
2703,Achiel Van Malderen,110.0,Wetteren,België,,110
2704,Alain De Bruyne,110.0,Etterbeek,België,,1
2705,Jean Collette,110.0,Ukkel,België,,9
2706,Braam Verreth,110.0,Sint-Gillis Waas,België,,12
2707,Erik Van Herreweghe,110.0,Wilrijk,België,,85
2708,Korneel Van Neste,110.0,,België,,3
2709,Klaartje Ascoop,109.0,Ekerne,België,,5
2710,Johan Beuselinck,110.0,,België,,1
2711,Anne Dekerk,109.0,Antwerpen,België,,1
2712,Tobias Hendrickx,110.0,,België,,1
2713,Péter Halász,110.0,New York,Verenigde Staten van Amerika,,9
2714,Koen De Graeve,110.0,Berchem,België,,95
2715,Frans Redant,110.0,Borgerhout,België,,87
2716,Anna-Marthe Zomer,109.0,,België,,4
2717,Dirk De Batist,110.0,Borgerhout,België,,170
2718,Dirk Crommelinck,110.0,Lochristie,België,,10
2719,Bernard Goovaerts,110.0,,België,,1
2720,Hana Van Landeghem,109.0,,België,,3
2721,Simonne Moesen,109.0,Gooik,België,,82
2722,Stéphane Vecchione,110.0,,België,,1
2723,Brit Alen,109.0,,België,,34
2724,Ryan Djojokarso,110.0,,Nederland,,9
2725,Koen Schetske,110.0,,België,,68
2726,Dominique Van Steerthem,110.0,Brussel,België,,17
2727,Robrecht Vanden Thoren,110.0,Gent,België,,38
2728,Sarah Dillen,109.0,Balen,België,,1
2729,Mona Vanschoenwinkel,109.0,,België,,1
2730,Soraya Rademaker,109.0,,België,,3
2731,Zahna Morel,109.0,,België,,3
2732,Shara Worden,109.0,,Verenigde Staten van Amerika,,2
2733,Norbert Kaart,110.0,Antwerpen,België,,16
2734,Tom Van Dyck,110.0,Berchem,België,,37
2735,Valerie Vervoort,109.0,,België,,6
2736,Katrien Declercq,109.0,Ledeberg (Gent),België,,40
2737,Sofie Lemaire,109.0,Zedelgem,België,,1
2738,Jaak Lema,110.0,,België,,2
2739,Jeroen Sebrechts,110.0,,België,,1
2740,Nathan Daems,110.0,,België,,1
2741,Veerle Tytgat,109.0,,België,,1
2742,Vincent van der Valk,110.0,,Nederland,,9
2743,Marc Piu,110.0,Antwerpen,België,,2
2744,Roland Serpieters,110.0,Antwerpen,België,,4
2745,Pieter Vanaudenaerde,110.0,,België,,3
2746,Lotte Hendrickx,109.0,Schaarbeek,België,,1
2747,Miep Embrechts,109.0,,België,,8
2748,Jean-Pierre Stoop,110.0,Brussel,België,,5
2749,Peter Van den Eede,110.0,,België,,163
2750,Hans Werner Henze,110.0,MÜNCHEN,Duitsland,,2
2751,Nedjma Hadj,109.0,,België,,35
2752,Joris Vanpoucke,110.0,,België,,2
2753,Jan Sobrie,110.0,,België,,89
2754,Jan Debel,110.0,,België,,3
2755,Febe Van de Veire,109.0,,België,,3
2756,Eduardo Torroja Fungairiño,110.0,Brussel,België,,40
2757,Gilles Le Roy,110.0,,België,,4
2758,Piet Swerts,110.0,Bertem,België,,5
2759,Kevin Skelton,110.0,,België,,1
2760,Walter Rits,110.0,HERENTALS,België,,115
2761,Guy Van Sande,110.0,BORGERHOUT,België,,73
2762,Marleen Wieme,109.0,,België,,1
2763,Mateo Bal,110.0,,België,,14
2764,Michael Lazic,110.0,Antwerpen,België,,18
2765,Mich Walschaerts,110.0,,België,,33
2766,Kim De Bruycker,109.0,Berchem,België,,3
2767,James McOran Campbell,110.0,,Groot-Brittannië,,1
2768,Ayelen Parolin,109.0,Brussel,België,,17
2769,Rebecca Huys,109.0,Berchem,België,,38
2770,Merel De Vilder Robier,109.0,Ellezelles,België,,15
2771,Katrien Vanderbiest,109.0,,België,,3
2772,Roger Vossenaar,110.0,Edegem,België,,25
2773,Romy Louise Lauwers,109.0,,België,,17
2774,Luk De Bruyker,110.0,Gent,België,,399
2775,Bernard Muylle,110.0,BRUGGE,België,,2
2776,Eric Goyvaerts,110.0,Merksem,België,,42
2777,Wim Willaert,110.0,,België,,80
2778,Sarah Fourneau,109.0,,België,,1
2779,Wannes Gevaert,110.0,,België,,4
2780,Machteld Timmermans,110.0,Leuven,België,,98
2781,Sabine Uytterhoeven,109.0,,België,,3
2782,Daniël Lamberts,110.0,Brussel,België,,2
2783,André  Pauwels,110.0,,België,,1
2784,Agna Smisdom,109.0,Brussel,België,,6
2785,Denise Gentbrugge,109.0,,België,,4
2786,Rosette De Herdt,109.0,Dendermonde,België,,40
2787,Hanneke Reiziger,109.0,Berchem,België,,52
2788,Amina Ibnou Kacemi,109.0,,België,,1
2789,Ezra Fiermans,109.0,,België,,2
2790,Tim Liebaert,110.0,,België,,5
2791,Daniel Billiet,110.0,Gent,België,,7
2792,Reinhilde Van Driel,109.0,Gent,België,,53
2793,Luc Mishalle,110.0,Brussel,België,,46
2794,Christel Kersemans,109.0,Kessel-Lo (Leuven),België,,1
2795,Roel Verniers,110.0,Berchem,België,,14
2796,Sara De Roo,109.0,Borgerhout,België,,120
2797,Min Hee Bervoets,109.0,,België,,2
2798,Stephan Pougin,110.0,,België,,1
2799,Laurent Goedertier,110.0,Oosterzele,België,,2
2800,Wim Segers,110.0,,België,,6
2801,Stijn Devillé,110.0,,België,,169
2802,David Helbich,110.0,,België,,21
2803,Iris Colombini,109.0,Antwerpen,België,,35
2804,Tom De Ridder,110.0,,België,,6
2805,Barbara De Jonge,109.0,Ninove,België,,22
2806,Jodka Crabbe,109.0,KRUISHOUTEM,België,,4
2807,Manon De Boevre,109.0,,België,,2
2808,Arne Sierens,110.0,Gent,België,,185
2809,Rainald Goetz,110.0,,Oostenrijk,,5
2810,Koen De Win,110.0,Gent,België,,12
2811,Petra Van Dijk,109.0,,België,,1
2812,Stefan Tavernier,110.0,,België,,4
2813,Jammal Larbi,110.0,Brussel,België,,1
2814,Monique Wilsens,109.0,Schaarbeek,België,,97
2815,Max Greyson,110.0,,België,,6
2816,Jenny Tanghe,109.0,Sint-Katelijne-Waver,België,,51
2817,Freek Rijna,109.0,,België,,3
2818,Stephanie Germonpré,109.0,,België,,2
2819,Lotte Heijtenis,109.0,Antwerpen,België,,36
2820,Tom Roos,110.0,Gent,België,,31
2821,Tobias Duysens,110.0,Maastricht,Nederland,,1
2822,Isaac-Joe Lybeer,110.0,,België,,2
2823,Mariette Van Halewijn,109.0,Gent,België,,4
2824,Michel Van Beirendonck,110.0,,België,,61
2825,Bern Van Deun,110.0,,België,,5
2826,Didier De Neck,110.0,Bruxelles,België,,60
2827,Julie  Cafmeyer,109.0,,België,,6
2828,Paul Govaerts,110.0,Brussel,België,,4
2829,Maarten Vandewalle,110.0,,België,,2
2830,Jan Decorte,110.0,Brussel,België,,283
2831,Roland Rába,110.0,,Hongarije,,7
2832,Yvan De Meyer,110.0,,België,,4
2833,Pascal Joris,110.0,Brussel,België,,12
2834,Toussaint Colombani,110.0,,België,,1
2835,Hanne Peeters,109.0,Leuven,België,,1
2836,Koen Kessels,110.0,Antwerpen,België,,53
2837,Evi Swinnen,109.0,Mariakerke,België,,2
2838,Hanne Foblets,109.0,Kessel-Lo,België,,8
2839,Raf Cammaer,110.0,,België,,37
2840,Jan Kuijken,110.0,,België,,70
2841,Vjera Somers,109.0,Gentbrugge,België,,24
2842,Annelore Crollet,109.0,Boechhout,België,,6
2843,Carmen Blanco Principal,109.0,Sint-Gillis,België,,7
2844,Freek Boey,110.0,,België,,6
2845,Lieve Van Den Wijngaerde,109.0,Dilbeek,België,,1
2846,Marleen Scholten,109.0,,Nederland,,32
2847,Lotte De Vuyst,109.0,Gent,België,,6
2848,Diana Raspoet,109.0,Brussel,België,,5
2849,Erwin Wauters,110.0,Sint-Niklaas,België,,2
2850,Viviana Montenegro,109.0,,België,,1
2851,Hans Roels,110.0,Brussel,België,,15
2852,Cheyenne Preys,109.0,,België,,1
2853,Anke Loth,109.0,Antwerpen,België,,23
2854,Carlo Goldoni,110.0,,Italië,,40
2855,Brechtje Van Bel,109.0,,België,,1
2856,Gorges Ocloo,110.0,Brussel,België,,16
2857,Sophie Marilley,109.0,,Zwitserland,,4
2858,Willy Marivoet,110.0,Antwerpen,België,,5
2859,Bart Van den Eynde,110.0,Antwerpen,België,,95
2860,Rosette Van Laer,109.0,Kasterlee,België,,11
2861,Annelies De Cock,109.0,BEVEREN-WAAS,België,,2
2862,Geert De Smet,110.0,Leuven,België,,20
2863,Ann Goormans,109.0,,België,,32
2864,Jolien De Gendt,109.0,,België,,3
2865,Celesta Rottiers,109.0,,België,,26
2866,Pino Etz,110.0,,België,,15
2867,Bruno Mistiaen,110.0,Gent,België,,22
2868,Christophe Engels,110.0,Antwerpen,België,,11
2869,Lothar Baumgarte,110.0,,Duitsland,,12
2870,Geert Peyman,110.0,,België,,2
2871,Leen Putman,109.0,,België,,1
2872,Loewie Van Eycke,110.0,,België,,1
2873,Alain Platel,110.0,Gent,België,,146
2874,Saloua Laaraj,109.0,Hoeilaart,België,,3
2875,Leen Van Welden,109.0,Gent,België,,24
2876,Imre Kleinlugtenbelt,109.0,?,Nederland,,1
2877,Nele Warson,109.0,Maasmechelen,België,,1
2878,Lisbeth Gruwez,109.0,Schaarbeek,België,,84
2879,Circé Lethem,109.0,KRAAINEM,België,,12
2880,Milan Warmoeskerke,110.0,,België,,7
2881,Bart Van Nuffelen,110.0,Borsbeek,België,,83
2882,Lien Van Wemmel,109.0,,België,,6
2883,Peter Zegveld,110.0,Amsterdam,Nederland,,4
2884,Bert Luyten,110.0,,België,,1
2885,Inge Cauwenbergh,109.0,Brussel,België,,5
2886,Betty Schuurman,109.0,,België,,27
2887,Dymphna Vandenabeele,109.0,,België,,1
2888,Marrigje Spoelstra,109.0,,Nederland,,10
2889,Ann Van Herreweghe,110.0,Schaarbeek,België,,5
2890,Anne Mie Gils,109.0,Merksem,België,,45
2891,Tessa Lute,109.0,Amsterdam,Nederland,,13
2892,Remko Van Damme,110.0,Antwerpen,België,,12
2893,Nic Roseeuw,110.0,,België,,40
2894,Jurgen Persyn,,WAKKEN,België,,1
2895,Frieda Couwberghs,109.0,Kruishoutem,België,,22
2896,Janina Audick,109.0,,Duitsland,,15
2897,Roman Van Houtven,110.0,,België,,9
2898,Jan Stoop,110.0,,België,,2
2899,Diana Herz,109.0,Antwerpen,België,,7
2900,Liesje Denutte,109.0,,België,,1
2901,Pierre Audi,110.0,,Nederland,,12
2902,Patrick Jordens,110.0,Sint-Gillis,België,,22
2903,Jan Devos,110.0,Schaarbeek,België,,51
2904,Nicole Laurent,109.0,SCHOTEN,België,,34
2905,Peter Van Damme,110.0,Sint-Joost-ten-Node,België,,9
2906,Sarajini Derycke,109.0,,België,,1
2907,Hildegard De Vuyst,109.0,Erpe-Mere,België,,100
2908,Elise Steenackers,109.0,,België,,4
2909,Annelies Beckx,109.0,,België,,1
2910,Mark Bisaerts,110.0,,België,,24
2911,Claire Renard,109.0,,België,,27
2912,Joke Sluydts,109.0,,België,,1
2913,Manja Van Den Eynde,109.0,,België,,2
2914,Jakub Truszkowski,110.0,Vorst,België,,32
2915,Rud Vanden Nest,110.0,Meise,België,,6
2916,Alain Honorez,110.0,-,België,,6
2917,Lotte Loncin,109.0,Scheldewindeke,België,,1
2918,Steven Prengels,110.0,,België,,21
2919,Ronald Klamer,110.0,Eindhoven,Nederland,,2
2920,Dominique Baguette,109.0,Schaarbeek,België,,2
2921,Dave Schroyen,110.0,,België,,5
2922,Hadewig Kras,110.0,Antwerpen,België,,11
2923,Vincent Van Sande,110.0,,België,,2
2924,Jos Verhoogen,110.0,Erps-Kwerps,België,,2
2925,Nele Sels,109.0,,België,,3
2926,Maximiliaan Beeldens,110.0,,België,,1
2927,Lieven De Cauter,,Brussel,België,,1
2928,Charlotte Goesaert,109.0,,België,,3
2929,Jan Van Hecke,110.0,Antwerpen,België,,29
2930,Mia Vaerman,109.0,Brussel,België,,2
2931,Koen Crul,110.0,KESSEL-LO,België,,32
2932,Olof Philipson,110.0,Stockholm,Zweden,,1
2933,An Joseph,109.0,Langdorp,België,,13
2934,Charlie Martens,110.0,Brussel,België,,5
2935,Axel Jacobs,110.0,,België,,15
2936,Thierry Genicot,110.0,Wezembeek-Oppem,België,,16
2937,Pieter-Jan De Smet,110.0,Gent,België,,23
2938,Rob Van Ertvelde,110.0,,België,,67
2939,Laurent Henry,110.0,,België,,1
2940,Franck Van Erven,110.0,KORTRIJK,België,,96
2941,Chantal Thiry,109.0,GLABBEEK,België,,15
2942,Harpo 't Hart,110.0,,Nederland,,3
2943,Peter De Smet,110.0,Wetteren,België,,10
2944,Line Van Wambeke,109.0,Zottegem,België,,7
2945,Francisca Vandekerckhove,109.0,,België,,2
2946,Philip Bussmann,110.0,,België,,11
2947,Dirk Holemans,110.0,,België,,1
2948,Lucas Devriendt,110.0,,België,,2
2949,Stef Depover,110.0,,België,,229
2950,Frederik Jassogne,110.0,,België,,23
2951,Thomas Ryckewaert,110.0,,België,,31
2952,Herman Meeus,110.0,,België,,21
2953,Joke Van Canneyt,109.0,,België,,3
2954,Sylvie Vanmaele,109.0,Oostkamp,België,,3
2955,Ward Kerremans,110.0,,België,,13
2956,Rafael De Rijck,110.0,,België,,3
2957,Luce Premer,109.0,Gent,België,,13
2958,Julien Schoenaerts,110.0,Antwerpen,België,,105
2959,Piet Thomas,110.0,Marke,België,,3
2960,Lotte van den Berg,109.0,,Nederland,,46
2961,Esther Maas,109.0,Achel,België,,4
2962,Régine Van den Broucke,109.0,Gent,België,,2
2963,Sylvie Anthoine,109.0,Antwerpen,België,,4
2964,Ronny Van de Casteele,110.0,,België,,1
2965,Ben  Schockaert,110.0,,België,,2
2966,Anouke De Groot,109.0,,België,,7
2967,Nele Hens,109.0,,België,,3
2968,Ada Buyssens,109.0,,België,,1
2969,Eli Van De Vondel,110.0,,België,,10
2970,Ilse Roman,109.0,Gent,België,,33
2971,Ann Hendriks,109.0,Antwerpen,België,,21
2972,Ivo Vander Borght,110.0,,België,,38
2973,Hans Van den Broeck,110.0,Brussel,België,,83
2974,Duc Duquennoy,110.0,Oostende,België,,1
2975,Carl de Smet,110.0,Merchtem,België,,4
2976,Hans Wellens,110.0,Brussel,België,,62
2977,Maurice Sendak,110.0,New York,Verenigde Staten van Amerika,,7
2978,Nel Rosiers,109.0,Burcht,België,,30
2979,Michiel De Vreede,110.0,,België,,1
2980,Karin Demedts,109.0,Lubbeek,België,,95
2981,Mark Stroobants,110.0,Deurne,België,,38
2982,Els Peeters,109.0,,België,,2
2983,Bart Meeusen,110.0,,België,,4
2984,Wim Danckaert,110.0,Ranst,België,,82
2985,Servaas Lateur,110.0,,België,,1
2986,Bram Ankersmit,110.0,,België,,1
2987,Xia Hua,110.0,,China,,2
2988,Ruben Cockx,110.0,,België,,2
2989,An Vandermeulen,109.0,Brussel,België,,1
2990,Karin Tanghe,109.0,Gent,België,,40
2991,Bieke Suykerbuyk,109.0,,België,,1
2992,Eddy Vereycken,110.0,Oostende,België,,124
2993,Gunther Samson,110.0,Vertrijk,België,,14
2994,Patrick Rozé,110.0,Gent,België,,44
2995,Wannes Cappelle,110.0,Antwerpen,België,,12
2996,D'hoe,109.0,,België,,1
2997,Samyrra Bafdel,109.0,Gent,België,,12
2998,Mamadou Abdoulaye Diatta,110.0,,Senegal,,1
2999,Marc Bober,110.0,Laken,België,,71
3000,Céline Broeckaert,109.0,Oostakker,België,,2
3001,Luigi de Angelis,110.0,,Italië,,5
3002,Helena Van den Berge,109.0,Genk,België,,32
3003,Evita Appendin,109.0,Tervuren,België,,1
3004,Alexander Vantournhout,110.0,,België,,10
3005,Martje Verhagen,109.0,,België,,1
3006,Peter Seynaeve,110.0,,België,,128
3007,Kurt Smekens,110.0,,België,,3
3008,Misha Downey,110.0,Brussel,België,,71
3009,Kornél Mundruczó,110.0,,Hongarije,,12
3010,Laura Vanborm,109.0,,België,,30
3011,Richard Venlet,109.0,Sint-Genesius-Rode,België,,2
3012,Ann Van Den Broeck,109.0,,België,,14
3013,Anouck Ramaut,109.0,,België,,1
3014,Tomomi Ohira,110.0,,Japan,,8
3015,Dorien Schampaert,109.0,,België,,2
3016,Carine Peeters,109.0,Ukkel,België,,54
3017,Wim Lauwaert,110.0,,België,,6
3018,Sara Vanderieck,109.0,,België,,30
3019,Noël Zanders,110.0,Kortrijk,België,,1
3020,Tawfik Mouotossim,110.0,,België,,1
3021,Niels Ieven,110.0,,België,,10
3022,Alexia Leysen,109.0,Antwerpen,België,,6
3023,Nele De Mulder,109.0,Dendermonde,België,,1
3024,Frederico Paredes,110.0,,België,,2
3025,Caroline Peeters,109.0,Tessenderlo,België,,4
3026,Marnick Bardyn,110.0,Leuven,België,,24
3027,Peter Smolders,110.0,,België,,8
3028,Nanosh Ronaldo,109.0,,België,,6
3029,Bert Vannieuwenhuyse,110.0,Wemmel,België,,23
3030,Raf Geenens,110.0,Antwerpen,België,,5
3031,Rosa Hermans,109.0,Berchem,België,,20
3032,Valerie Saverys,109.0,Gent,België,,2
3033,Mieke De Groote,109.0,Antwerpen,België,,105
3034,Roman Ndomba,110.0,,Congo,,1
3035,Maya Albert,109.0,,België,,22
3036,Peter Vekeman,110.0,,België,,2
3037,Jan De Brabander,110.0,,België,,63
3038,Wim Van Gansbeke,110.0,Lalinde- Mauzac,Frankrijk,,30
3039,An Saelens,109.0,Gent,België,,14
3040,Elisabeth Maesen,109.0,Brussel,België,,31
3041,Jolien Heylen,109.0,,België,,1
3042,Veerle Keuppens,109.0,Borgerhout,België,,15
3043,Hein Gerrits,110.0,,Nederland,,2
3044,Wanda Joosten,109.0,Moerbeke-Waas,België,,34
3045,Isabelle Deleu,109.0,Leuven,België,,3
3046,Isabelle De Cannière,109.0,Brussel,België,,1
3047,Karel Steylaerts,110.0,,België,,21
3048,John Patrick Shanley,,,Verenigde Staten van Amerika,,3
3049,Jos Dom,110.0,Appels,België,,182
3050,Sofie Vervloet,109.0,,België,,1
3051,Stijn Lauwereins,110.0,,België,,1
3052,Mirei Arai,109.0,,Japan,,1
3053,Raymond Bossaerts,110.0,GENTBRUGGE,België,,60
3054,Fée Roels,109.0,,België,,8
3055,Soetkin Verwilt,109.0,,België,,26
3056,Berdien Dewaele,109.0,,België,,1
3057,Dorien van Den Broeck,109.0,,België,,2
3058,Denzil Delaere,110.0,,België,,4
3059,John Pielmeier,110.0,,Verenigde Staten van Amerika,,5
3060,Danny Lamberts,110.0,-,België,,3
3061,Caroline De Coninck,109.0,,België,,1
3062,Berlinde De Bruyckere,109.0,,België,,8
3063,Wesley Poublon,110.0,,België,,1
3064,Robert Siân,110.0,Antwerpen,België,,56
3065,Arlette Sterckx,109.0,Brasschaat,België,,14
3066,Kate Vos,109.0,Sint-Martens-Latem,België,,8
3067,Stoffel De Waele,110.0,,België,,1
3068,Iza De Zutter,109.0,,België,,2
3069,Freek Vielen,110.0,,Nederland,,20
3070,Dries Douibi,110.0,Brussel,België,,10
3071,Ingrid Van Rensbergen,109.0,Mariakerke,België,,6
3072,Michael Scott,110.0,DUBLIN 2,Ierland,,10
3073,Andrew Charity,110.0,,India,,1
3074,Lisanne Corijn,109.0,,België,,1
3075,Marc Coessens,110.0,Hofstade (Bt.),België,,85
3076,Pauliina Hulkko,109.0,,Finland,,1
3077,Charlotte Dhaenens,109.0,,België,,7
3078,Nelly Kers,109.0,,België,,1
3079,Jan Vereecken,110.0,,België,,1
3080,Kurt Vanhoutte,110.0,Antwerpen,België,,6
3081,Herman Mariën,110.0,Antwerpen,België,,3
3082,Jan Verstraeten,110.0,BORGERHOUT,België,,75
3083,Francis Marechal,110.0,LUZARCHES,Frankrijk,,3
3084,Leen Mathyssen,109.0,,België,,2
3085,Diliana Nikiforova,109.0,Antwerpen,België,,2
3086,Koen Bruyneel,110.0,Kortrijk,België,,2
3087,Dirk Van Vaerenbergh,110.0,Gent,België,,21
