,Lijst van personen,Gender,Stad,Land,Postcode,Count van producties
204,Ivo Dimchev,110.0,Sofia,Bulgarije,,120
205,Inke Ramaekers,109.0,Schaarbeek,België,,6
206,Mieke Van Buggenhout,109.0,,België,,4
207,Poppe Boonstra,110.0,Dworp,België,,2
208,Edith Cassiers,109.0,,België,,1
209,Marina Deweer,109.0,Antwerpen,België,,26
210,Peter Van den Begin,110.0,Antwerpen,België,,41
211,Anne Quirynen,109.0,Elsene,België,,6
212,Fauve Lybaert,109.0,Gistel,België,,2
213,Patrick Ryngaert,110.0,,België,,1
214,Silke Sintobin,109.0,,België,,3
215,Bram Ahyoot,110.0,Gent,België,,7
216,Fernand Auwera,110.0,Antwerpen,België,,13
217,Els De Coster,109.0,,België,,1
218,Bernard Dewulf,110.0,Etterbeek,België,,28
219,Kosi Hidama,110.0,Brussel,België,,57
220,Joanna Dudley,109.0,,België,,10
221,Sarah Haeck,109.0,,België,,7
222,Marc Cnops,110.0,Bonheiden,België,,375
223,Herman Sorgeloos,110.0,Molenbeek,België,,242
224,Ingrid Dullens,109.0,,België,,36
225,Steven Herregodts,110.0,,België,,1
226,Peter Ploegaerts,110.0,,België,,1
227,Geert Peymen,110.0,Hoboken,België,,33
228,Frank De Winne,110.0,,België,,1
229,Hugo Vanden Berghe,110.0,,België,,4
230,François De Schouwer,110.0,Mechelen,België,,11
231,Jonas Chéreau,110.0,,België,,5
232,Brecht Callewaert,110.0,Antwerpen,België,,50
233,Lore Dejonckheere,109.0,Antwerpen,België,,8
234,Bürge Öztürk,109.0,,Turkije,,1
235,Lynn Van Royen,109.0,Moorsel,België,,3
236,Lieselot De Wilde,109.0,,België,,14
237,Paula Stulemeijer,109.0,Rupelmonde,België,,54
238,Charlotte De Wulf,109.0,,België,,1
239,Inge Gyselinck,109.0,Antwerpen,België,,2
240,Hans van Leipsig,110.0,,Nederland,,3
241,Suzanne Juchtmans,109.0,Antwerpen,België,,109
242,Jan Kuppens,110.0,,België,,15
243,Filip Sangd'or,110.0,,België,,6
244,Ödön von Horvàth,110.0,,Duitsland,,27
245,Joni Mc Master,109.0,,België,,2
246,Patrick Van Kerckhove,110.0,,België,,2
247,Ariel Dorfman,110.0,,Verenigde Staten van Amerika,,2
248,Kris Defoort,110.0,Brussel,België,,48
249,Daria Bukvić,109.0,,Nederland,,1
250,Maaike Neuville,109.0,Bertem,België,,25
251,Eric Raeves,110.0,Antwerpen,België,,172
252,János Derzsi,110.0,,Hongarije,,3
253,Dominique Van Malder,110.0,Dendermonde,België,,122
254,Jean-Pierre Dopagne,110.0,Achet,België,,5
255,Joost Maaskant,110.0,,België,,12
256,Michael Miranda,110.0,,België,,1
257,Maurice Taszman,110.0,RUEIL-MALMAISON,Frankrijk,,1
258,Sasha Waltz,109.0,ONBEKEND,Duitsland,,27
259,Gabor Varga,110.0,,België,,13
260,Jetse Batelaan,110.0,Amsterdam,Nederland,,8
261,Antoon Offeciers,109.0,Hove,België,,57
262,Alexei Fadeyechev,110.0,,Federatie van Rusland,,1
263,Patrick Vanhelmont,110.0,Brasschaat,België,,6
264,Patrick Vandewalle,110.0,,België,,305
265,Ann Van Weymeersch,109.0,,België,,1
266,Steven Scharf,110.0,,Duitsland,,3
267,Magriet Van der Meijden,109.0,,België,,1
268,Charlotte Debussche,109.0,,België,,8
269,Marta Coronado,109.0,Brussel,België,,45
270,Ray Van Campenhout,110.0,BONHEIDEN,België,,44
271,Mirei Bonte,109.0,Westerlo,België,,22
272,Judith Engelen,109.0,,België,,3
273,Jef Loots,110.0,,België,,62
274,Osiris Vlerick,109.0,,België,,1
275,Frank Adam,110.0,Oedelem,België,,49
276,Benoît van Innis,110.0,Schaarbeek,België,,6
277,Jan Bollen,110.0,Antwerpen,België,,27
278,Lore Dijkman,109.0,Amsterdam,Nederland,,2
279,Zina Saelens,109.0,,België,,1
280,An Debie,109.0,Gent,België,,1
281,Lisette Mertens,109.0,Merksem,België,,58
282,Uwamungu Cornelis,110.0,,België,,6
283,Tom Dupont,110.0,Gent,België,,70
284,Michel Waisvisz,110.0,,Nederland,,4
285,Gerold Van Thieghem,110.0,,België,,4
286,Steph Goossens,110.0,Antwerpen,België,,9
287,Peter Van Hoof,110.0,,België,,6
288,Jean-Pol Zanutel,110.0,,België,,1
289,Nienke Reehorst,109.0,,België,,34
290,Peter Van De Cotte,110.0,Gent,België,,1
291,Els Deceukelier,109.0,Antwerpen,België,,79
292,Frouke Van Gheluwe,109.0,,België,,2
293,Shivani Gupta,109.0,,India,,1
294,Anne-Linn Akselsen,109.0,,Noorwegen,,12
295,Yannick D'Haese,110.0,,België,,2
296,Marleen Taekels,109.0,,België,,80
297,Frank Hofmans,110.0,Lebbeke,België,,36
298,Roger Bolders,110.0,LOCHRISTI,België,,135
299,Stijn,110.0,,België,,1
300,Joy Thielemans,109.0,Deurne,België,,3
301,François Brice,110.0,Brussel,België,,16
302,Alfred De Musset,110.0,Parijs,Frankrijk,,3
303,Leen Driesen,109.0,Brussel,België,,8
304,Dahlia Pessemiers Benamar,109.0,Antwerpen,België,,33
305,Marie-Anne Denecker,109.0,,België,,1
306,Marlène Kenens,109.0,,Nederland,,1
307,Gerry De Mol,110.0,Daknam,België,,5
308,Rick Lammers,110.0,,België,,1
309,Joris Martens,110.0,,België,,5
310,Ria De Corte,109.0,Borgerhout,België,,37
311,Rose van de Leest,109.0,Antwerpen,België,,3
312,Sofie Joan Wouters,109.0,,België,,11
313,Tobias Allegaert,110.0,,België,,7
314,Jean-Pierre De Decker,110.0,Vurste,België,,102
315,Lieven Matthijs,110.0,Mechelen,België,,33
316,Leen Dewilde,109.0,,België,,15
317,Lara De Bruyne,109.0,,België,,4
318,Gosie Vervloessem,109.0,Brussel,België,,24
319,Thomas De Smedt,110.0,,België,,12
320,Timothy McDevitt,110.0,,Afghanistan,,1
321,Annabel Heyse,109.0,,België,,1
322,Glenn Dierick,110.0,,België,,1
323,Christiane Meyten,109.0,Antwerpen,België,,83
324,Elke Janssen,109.0,,België,,2
325,Joke Vincke,109.0,,België,,1
326,Mustafa Balci,110.0,,België,,3
327,Peter Morrens,110.0,,België,,1
328,Walter Verstraete,110.0,Gent,België,,13
329,Jeroen Stevens,110.0,,België,,16
330,Andrew Wise,110.0,,België,,33
331,Nicola Testa,110.0,,België,,8
332,Michel Verkinderen,110.0,,België,,9
333,Nadine Ganase,109.0,Etterbeek,België,,32
334,Evelien Van Hamme,109.0,Brussel,België,,36
