,Ruimte,Straat en nummer,Postcode,Stad
309,De Kaekelaar,St-Cordulastraat 10,2900,Schoten
310,GC De Zandloper,Kaasmarkt 75,1780,Wemmel
311,CC De Werft,Werft 32,2440,Geel
312,"Sloepenweg, Droogdokkeneiland",,,Antwerpen
313,La Raffinerie,Manchesterstraat 21,1080,Molenbeek
314,Scheld'Apen,D'Herbouvillekaai 36,2020,Antwerpen
315,Espace Magh,Priemstraat 17,1000,Brussel
316,Op locatie,,,Molenbeek
317,Tutti Fratelli,Lange Gasthuisstraat 26,2000,Antwerpen
318,Cultuurcentrum Feniks,Ganzenhofstraat 69,8580,Avelgem
319,GC De Zeyp,Van Overbekelaan 164,1083,Ganshoren
320,Lokaal 01,Provinciestraat 287,2018,Antwerpen
321,Muzenhoek 28,,,Sleidinge
322,Concertgebouw Brugge,'t Zand 34,8000,Brugge
323,Op locatie,,8500,Kortrijk
324,Penitentiair Complex Brugge,Legeweg 200,8200,Brugge
325,CC Casino Koksijde,Casinoplein 10/11,8670,Koksijde
326,Centre Culturel de Braine L'Alleud,,1420,Braine L'Alleud
327,CC De Kern,Kern 18,2610,Wilrijk (Antwerpen)
328,Koninklijk Circus,Onderrichtstraat 81,1000,Brussel
329,Fakkelteater - Zwarte Zaal,Reyndersstraat 7,2000,Antwerpen
330,Loods NMBS,Konterdamkaai,8400,Oostende
331,Op locatie in Godsheide,,,Hasselt
332,Huis van Winckel,Kerkstraat 28,9200,Dendermonde
333,Museumtheater,Zwijgershoek z/n,9100,Sint-Niklaas
334,CC De Woeker,Woeker 3,9700,Oudenaarde
335,De Munt-Fioccozaal,Leopoldstraat 4,1000,Brussel
336,CC Evergem,F. De Kokerlaan 11,9940,Evergem
337,Theater Zuidpool,Lange Noordstraat 11,2000,Antwerpen
338,Basisschool Kroonlaan,,,Oostende
339,Sint-Jozefcollege Turnhout,Beekstraat 5,2300,Turnhout
340,Danscentrum Jette,55 rue van cauwenbergh,1080,Molenbeek
341,Antwerpse Haven - Asia Loods,Haïfastraat 7,,Antwerpen
342,Theater Boechout Vooruit,St. Bavoplein 17,2530,Boechout
343,Théâtre Molière,Naamsepoortgalerij-Bolwerksquare 3,1050,Brussel
344,Festival Bitume,,,La Roche en Ardenne
345,CC De Warande,Warandestraat 42,2300,Turnhout
346,Théâtre de la Vie,Dwarsstraat 45,1210,Sint-Joost-ten-Node
347,Haven Genk,,,Genk
348,Hoofdbibliotheek Zuid,Graaf van Vlaanderenplein 40,9000,Gent
349,Theater 't Eilandje,Kattendijkdok-Westkaai 16,2000,Antwerpen
350,Théâtre Varia,Rue du Sceptre 78,1050,Ixelles
351,Muhka,Leuvenstraat  32,2000,Antwerpen
352,Bozar,Rue Ravenstein 23 ,1000,Brussel
353,CC Leuven,Brussselsestraat 63,3000,Leuven
354,Op locatie,,,Veurne
355,Cinéma Marivaux,Boulevard Adolphe Maxlaan 98,1000,Brussel
356,Antwerp Boxing Academy,Slachthuislaan 70,,Antwerpen-Noord
357,De Kolonie,Kapelstraat 11,,Merksplas
358,CC Sint-Niklaas,Grote Markt 1,9100,Sint-Niklaas
359,Le Château du Karreveld (Karreveldkasteel),,,Sint-Jans-Molenbeek
360,Op locatie,,9000,Gent
361,Centre Culturel Russe,Middaglijnstraat 21,1210,Sint-Joost-ten-Node
362,Klein Engelandhoeve,Klein Engeland 29,,Turnhout
363,Ten Huize De Vlieghe-Bilsen,Berchemlei 221,,Borgerhout
364,Festival International de la Marionette,,,Houffalize
365,Neerlandhof,,,Wilrijk
366,NTGent: Minnemeers,Minnemeers 8,9000,Gent
367,Bargeplein,,,Brugge
368,MIGO,,,Oostende
369,Emile Van Doorenmuseum,,,Genk
370,CC Lier,Aarschotsesteenweg 3,2500,Lier
371,KVS Top,Arduinkaai 7,1000,Brussel
372,CC Scharpoord,Meerlaan 32,8300,Knokke-Heist
373,CC DGP - Dactylo,,,Oostende
374,CC DGP - Amfitheater,,,Oostende
375,deSingel,Jan Van Rijswijcklaan 155,2018,Antwerpen
376,l'Halle aux Draps,,,Tournai
